customer_id,signup_date,acquisition_channel,region,loyalty_member,spend_propensity,initial_orders_estimate,high_value_flag
CUST100000,23-11-2024,organic_search,south,0,2.1287,6,0
CUST100001,27-02-2024,organic_search,east,1,0.4363,1,0
CUST100002,13-01-2024,paid_search,west,0,5.211,15,1
CUST100003,14-01-2025,organic_search,west,0,0.5841,1,0
CUST100004,20-05-2024,organic_search,south,0,0.2078,1,0
CUST100005,05-05-2024,email,south,0,1.5012,4,0
CUST100006,24-04-2024,email,south,0,2.6104,7,0
CUST100007,12-03-2024,email,east,1,1.6908,5,0
CUST100008,12-01-2025,email,east,0,1.3673,4,0
CUST100009,22-02-2024,social,north,0,0.4075,1,0
CUST100010,12-12-2024,organic_search,south,0,0.0667,1,0
CUST100011,14-01-2025,email,north,1,0.2248,1,0
CUST100012,06-10-2024,email,central,0,0.5921,1,0
CUST100013,14-02-2024,email,east,0,3.1281,9,0
CUST100014,29-10-2024,paid_search,west,0,1.2832,3,0
CUST100015,04-08-2024,organic_search,central,0,1.7619,5,0
CUST100016,17-01-2024,email,west,0,0.3248,1,0
CUST100017,16-01-2024,social,central,0,1.1515,3,0
CUST100018,17-02-2024,referral,north,0,1.9837,5,0
CUST100019,21-04-2024,organic_search,north,0,0.6528,1,0
CUST100020,29-04-2024,organic_search,east,0,0.5619,1,0
CUST100021,15-09-2024,organic_search,west,0,1.2708,3,0
CUST100022,04-11-2024,email,central,0,0.8208,2,0
CUST100023,14-01-2024,organic_search,south,0,4.9866,14,0
CUST100024,14-10-2024,organic_search,south,0,0.5536,1,0
CUST100025,11-04-2024,referral,east,0,0.1935,1,0
CUST100026,01-01-2025,organic_search,west,0,0.6385,1,0
CUST100027,28-11-2024,email,south,0,0.2681,1,0
CUST100028,25-12-2024,paid_search,east,0,4.943,14,1
CUST100029,06-10-2024,email,east,0,0.1344,1,0
CUST100030,02-08-2024,social,west,0,2.9953,8,0
CUST100031,22-04-2024,email,south,0,1.9648,5,0
CUST100032,17-08-2024,email,south,0,1.0145,3,0
CUST100033,28-10-2024,organic_search,south,1,0.1892,1,0
CUST100034,22-05-2024,organic_search,north,1,0.7183,2,0
CUST100035,04-01-2024,organic_search,south,0,1.4823,4,0
CUST100036,22-03-2024,social,central,0,0.2473,1,0
CUST100037,23-12-2024,email,north,0,0.0629,1,0
CUST100038,04-08-2024,paid_search,north,0,0.7886,2,0
CUST100039,23-06-2024,social,north,0,1.1763,3,0
CUST100040,22-05-2024,organic_search,north,0,0.2802,1,0
CUST100041,20-03-2024,email,east,0,8.0771,24,1
CUST100042,20-04-2024,referral,central,0,3.0087,9,1
CUST100043,21-06-2024,organic_search,west,1,0.1474,1,0
CUST100044,22-02-2024,paid_search,south,0,0.7155,2,0
CUST100045,17-02-2024,organic_search,north,0,0.0585,1,0
CUST100046,13-07-2024,social,west,0,0.2315,1,0
CUST100047,19-02-2024,paid_search,east,0,0.0941,1,0
CUST100048,02-07-2024,organic_search,west,0,0.5175,1,0
CUST100049,25-06-2024,paid_search,north,0,1.7194,5,0
CUST100050,05-11-2024,organic_search,central,1,5.1641,15,1
CUST100051,15-05-2024,paid_search,west,0,1.5107,4,0
CUST100052,23-01-2024,social,north,1,0.0409,1,0
CUST100053,08-01-2025,organic_search,north,1,0.8061,2,0
CUST100054,23-08-2024,email,south,0,0.1425,1,0
CUST100055,01-10-2024,social,south,1,0.4197,1,0
CUST100056,04-03-2024,paid_search,central,0,0.7137,2,0
CUST100057,12-07-2024,organic_search,south,0,2.3406,7,0
CUST100058,10-02-2024,email,central,0,0.0854,1,0
CUST100059,09-10-2024,referral,east,0,1.1045,3,0
CUST100060,30-05-2024,organic_search,east,0,0.0851,1,0
CUST100061,17-11-2024,organic_search,south,0,0.994,2,0
CUST100062,12-11-2024,organic_search,east,0,0.8019,2,0
CUST100063,04-07-2024,social,west,0,1.6706,5,0
CUST100064,22-10-2024,organic_search,west,0,0.7586,2,0
CUST100065,08-04-2024,paid_search,west,0,0.4348,1,0
CUST100066,26-12-2024,social,east,0,1.6684,5,0
CUST100067,05-02-2024,social,west,0,0.0891,1,0
CUST100068,24-01-2024,paid_search,central,0,0.7649,2,0
CUST100069,04-12-2024,paid_search,north,1,2.1921,6,0
CUST100070,26-04-2024,social,south,0,0.7231,2,0
CUST100071,28-05-2024,organic_search,central,0,1.3436,4,0
CUST100072,10-02-2024,organic_search,west,0,0.3544,1,0
CUST100073,29-04-2024,email,north,0,0.5944,1,0
CUST100074,21-02-2024,organic_search,south,0,0.3925,1,0
