transaction_id,customer_id,order_date,product_category,channel,payment_method,order_value,discount_applied,returned_flag,region,loyalty_member,signup_date,engagement_flag
1f50903f-525c-454b-8f77-4e55fca9353d,CUST103330,07-12-2025,apparel,web,card,15.94,1,0,central,0,05-04-2024,1
04bef618-9475-4c01-bcda-bde116c471f8,CUST104034,28-11-2025,electronics,web,card,135.43,0,0,central,0,25-09-2024,1
319b5d11-50d9-4f0b-90d5-8f7cd9da7e9d,CUST101529,04-12-2025,home,web,card,12.88,0,0,north,0,02-07-2024,1
720ac8d6-a012-4f4f-a549-95486c68b3db,CUST100070,11-12-2025,sports,app,card,64.44,1,0,south,0,26-04-2024,1
73d03443-0304-4645-ab75-c96730e3acee,CUST102917,11-12-2025,beauty,web,card,61.2,1,0,north,0,11-07-2024,1
801bf1b8-29b1-4019-a4f5-a4e5d8bfd2f8,CUST100465,05-12-2025,beauty,store,card,114.02,1,0,south,0,08-08-2024,1
9bde1610-1d2f-4873-9281-08002508c7a3,CUST105776,20-11-2025,toys,web,card,10.26,1,0,central,0,10-04-2024,1
4e5b2e5b-4d6c-4af3-a97b-74255232633f,CUST101089,29-12-2025,apparel,web,netbanking,135.49,0,0,west,0,10-12-2024,1
21f79545-425d-4726-b760-1829062d32ef,CUST102712,23-11-2025,sports,web,card,236.53,0,0,west,0,11-03-2024,1
bf67441f-cd48-440f-bc28-49dcc5bb0bea,CUST102769,01-12-2025,sports,web,netbanking,11.11,1,0,central,0,05-04-2024,1
d78d3f6c-9eaf-4a34-a24d-34448e6f643a,CUST103554,05-12-2025,home,store,card,156.23,0,0,central,0,26-07-2024,1
711a0d98-562a-4412-9e60-01b179575976,CUST105114,15-11-2025,apparel,web,card,79.72,0,1,west,0,28-04-2024,0
1047f3cc-a86e-489f-babd-6fdd1e82c610,CUST103021,22-12-2025,beauty,web,upi,43.11,1,0,west,0,02-10-2024,1
4837294d-a223-4a08-96f8-0ef229c48350,CUST100191,06-11-2025,grocery,web,card,141.08,1,0,south,1,02-11-2024,1
027d5151-6996-416e-b39a-822525393008,CUST105038,29-11-2025,electronics,web,card,189.73,1,0,central,0,30-11-2024,1
9ff4d12d-0597-40c7-8e16-5ad5a9ea6232,CUST100511,20-11-2025,grocery,web,wallet,260.81,0,0,central,0,23-07-2024,1
f301ba2c-1b29-40c7-b9ff-9fb6ab0f3fd1,CUST104170,24-11-2025,home,web,card,91.52,1,0,east,0,29-05-2024,1
d0bcbe74-faaa-4fb8-953b-226794570c23,CUST105224,27-11-2025,sports,app,upi,15.25,1,0,west,0,15-09-2024,1
7feb7a29-d58a-4410-9bf1-b52e1b2b414c,CUST101815,17-11-2025,toys,web,wallet,123.81,1,0,east,1,27-06-2024,1
fb3f06d2-6ae5-4d87-a5c5-8c195c58c9e4,CUST102858,10-11-2025,apparel,web,card,19.89,0,0,south,0,20-10-2024,1
ba8811e0-1fee-4974-bcb7-e2e79bc0c38b,CUST100099,20-11-2025,electronics,app,card,28.55,0,0,central,0,18-05-2024,1
d3db48c4-5464-455f-ae01-469a3caf2575,CUST105228,01-11-2025,apparel,web,wallet,6.44,1,0,east,0,08-02-2024,1
84d7e06f-0b8e-4888-878c-b099490031cb,CUST104597,01-11-2025,home,web,card,767.79,1,0,east,0,10-10-2024,1
388202d8-52df-4991-b76a-84213333f2e9,CUST101458,04-12-2025,grocery,web,card,111.16,0,0,west,0,08-07-2024,1
d976a1c8-d56b-4c5d-88cb-86798e2ca5f5,CUST102524,23-12-2025,electronics,web,upi,15.81,0,0,east,0,01-03-2024,1
0b4f1f38-c6ab-4c26-a4d4-77e79e38ab41,CUST104532,19-12-2025,grocery,web,card,57.73,1,0,east,0,01-06-2024,1
9ec90266-c2bc-47e8-b36b-a325fd48f3f5,CUST102291,25-12-2025,beauty,web,upi,8.95,1,0,east,0,08-09-2024,1
23b889a0-c3a2-4e1b-91bc-827dc3326002,CUST101035,09-11-2025,electronics,app,card,110.73,0,0,east,0,27-12-2024,1
f8ea5838-ced1-41cc-a544-7328a7c30396,CUST103336,23-11-2025,apparel,web,card,38.98,0,0,west,1,27-07-2024,1
9e1a87b1-88c7-4055-9ae8-09088e00a981,CUST104744,19-11-2025,sports,app,card,96.76,1,0,west,0,21-08-2024,1
1bb07217-f32a-4482-9ed0-9b35f129440d,CUST102063,01-12-2025,sports,web,card,5.53,0,0,west,0,11-03-2024,1
